Date/time,PM10 [ug/m3],PM2.5 [ug/m3],TEMP [C]
2021-04-30 07:50:00+02:00,15.83,14.6,9.7
2021-04-30 07:55:00+02:00,12.22,12.22,9.7
2021-04-30 08:00:00+02:00,13.24,13.24,9.9
2021-04-30 08:05:00+02:00,16.82,16.82,10.1
2021-04-30 08:10:00+02:00,9.02,9.02,10.3
2021-04-30 08:15:00+02:00,11.8,10.17,10.3
2021-04-30 08:20:00+02:00,18.29,16.2,10.4
2021-04-30 08:25:00+02:00,16.87,13.18,10.4
2021-04-30 08:30:00+02:00,10.63,9.94,10.8
2021-04-30 08:35:00+02:00,10.32,9.14,11.2
2021-04-30 08:40:00+02:00,7.81,7.81,11.2
2021-04-30 08:45:00+02:00,16.93,13.79,10.8
2021-04-30 08:50:00+02:00,14.32,12.98,10.8
2021-04-30 08:55:00+02:00,12.73,12.73,11.3
2021-04-30 09:00:00+02:00,15.93,12.03,12.2
2021-04-30 09:05:00+02:00,7.55,7.55,12.2
2021-04-30 09:10:00+02:00,13.3,13.3,12.2
2021-04-30 09:15:00+02:00,11.2,9.59,11.6
2021-04-30 09:20:00+02:00,10.56,9.78,11.3
2021-04-30 09:25:00+02:00,9.83,8.83,11.7
2021-04-30 09:30:00+02:00,12.81,10.74,11.7
2021-04-30 09:35:00+02:00,17.82,14.81,12.2
2021-04-30 09:40:00+02:00,17.03,14.97,12.8
2021-04-30 09:45:00+02:00,11.45,11.45,11.8
2021-04-30 09:50:00+02:00,21.92,17.81,12.2
2021-04-30 09:55:00+02:00,18.44,15.67,12.2
2021-04-30 10:00:00+02:00,12.64,12.64,12.4
2021-04-30 10:05:00+02:00,9.35,8.36,12.7
2021-04-30 10:10:00+02:00,15.81,11.98,13.3
2021-04-30 10:15:00+02:00,18.07,14.26,13.5
2021-04-30 10:20:00+02:00,30.36,22.21,13.2
2021-04-30 10:25:00+02:00,7.23,6.42,13.0
2021-04-30 10:30:00+02:00,32.78,23.2,13.6
2021-04-30 10:35:00+02:00,16.5,15.47,13.6
2021-04-30 10:40:00+02:00,13.25,13.25,13.7
2021-04-30 10:45:00+02:00,14.19,13.54,13.2
2021-04-30 10:50:00+02:00,13.6,11.09,13.7
2021-04-30 10:55:00+02:00,24.19,18.94,13.6
2021-04-30 11:00:00+02:00,16.74,13.35,13.9
2021-04-30 11:05:00+02:00,21.77,17.95,14.2
2021-04-30 11:10:00+02:00,21.29,14.83,14.1
2021-04-30 11:15:00+02:00,9.91,8.87,14.4
2021-04-30 11:20:00+02:00,10.29,10.29,14.7
2021-04-30 11:25:00+02:00,13.04,10.66,15.2
2021-04-30 11:30:00+02:00,10.96,10.96,15.4
2021-04-30 11:35:00+02:00,18.12,17.58,15.4
2021-04-30 11:40:00+02:00,15.48,11.24,16.2
2021-04-30 11:45:00+02:00,13.98,13.98,15.9
2021-04-30 11:50:00+02:00,12.13,12.13,15.4
2021-04-30 11:55:00+02:00,10.98,10.98,16.5
2021-04-30 12:00:00+02:00,8.41,6.92,17.0
2021-04-30 12:05:00+02:00,17.81,13.89,16.4
2021-04-30 12:10:00+02:00,12.76,10.96,17.1
2021-04-30 12:15:00+02:00,16.13,13.34,17.0
2021-04-30 12:20:00+02:00,22.55,18.49,17.5
2021-04-30 12:25:00+02:00,9.11,9.11,16.4
2021-04-30 12:30:00+02:00,15.08,15.08,17.4
2021-04-30 12:35:00+02:00,10.79,10.79,17.9
2021-04-30 12:40:00+02:00,11.89,9.92,18.8
2021-04-30 12:45:00+02:00,10.35,9.36,18.1
2021-04-30 12:50:00+02:00,7.99,7.29,16.9
2021-04-30 12:55:00+02:00,13.63,10.99,16.5
2021-04-30 13:00:00+02:00,8.7,8.7,16.5
2021-04-30 13:05:00+02:00,10.16,9.62,16.5
2021-04-30 13:10:00+02:00,12.95,12.5,16.4
2021-04-30 13:15:00+02:00,11.82,10.49,16.5
2021-04-30 13:20:00+02:00,13.54,12.42,16.5
2021-04-30 13:25:00+02:00,14.75,14.75,15.6
